,Title,Year,certificate,Time,genre,star_rating,Content,votes,Text,boxoffice,Directors,Stars,MetaScore,gross_box_office
54,Holes,2003,PG,117,"Adventure, Comedy, Drama",7.0,    A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,"77,106",                        1h 57mi,"$71,406,573",Andrew Davis                 ,"Shia LaBeouf, Sigourney Weaver, Jon Voight, Tim Blake Nelson    ",71.0,67.41
55,The Rescuers,1977,U,78,"Animation, Adventure, Comedy",6.9,    Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,"57,819",                        1h 18mi,"Walt Disney Animation Studios, Walt Disney Productions      
        See more »","John Lounsbery, Wolfgang Reitherman, Art Stevens                 ","Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn    ",74.0,71.22
56,The Rescuers Down Under,1990,U,77,"Animation, Adventure, Crime",6.9,"    The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.","38,147",                        1h 17mi,"Silver Screen Partners IV, Walt Disney Animation Studios, Walt Disney Pictures      
        See more »","Hendel Butoy, Mike Gabriel                 ","Bob Newhart, Eva Gabor, John Candy, Tristan Rogers    ",70.0,27.93
57,101 Dalmatians,1961,U,79,"Animation, Adventure, Comedy",7.3,"    When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.","151,513",                        1h 19mi,"$215,880,014","Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman                 ","Rod Taylor, Betty Lou Gerson, J. Pat O'Malley, Martha Wentworth    ",83.0,144.88
58,Prince of Persia: The Sands of Time,2010,12A,116,"Action, Adventure, Fantasy",6.6,    A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,"270,365",                        1h 56mi,"$336,365,676",Mike Newell                 ,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina    ",50.0,90.76
59,Homeward Bound: The Incredible Journey,1993,U,84,"Adventure, Comedy, Drama",6.9,"    A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.","41,745",                        1h 24mi,"Touchwood Pacific Partners 1, Walt Disney Pictures      
        See more »",Duwayne Dunham                 ,"Michael J. Fox, Sally Field, Don Alder, Ed Bernard    ",,41.83
60,Fantasia,1940,U,125,"Animation, Family, Fantasy",7.7,    A collection of animated interpretations of great works of Western classical music.,"87,952",                        2h 5mi,"$76,411,819","James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen                 ","Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra, Corey Burton    ",96.0,76.41
61,Bridge to Terabithia,2007,PG,96,"Drama, Family, Fantasy",7.1,    A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,"142,209",                        1h 36mi,"$137,587,063",Gabor Csupo                 ,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick    ",74.0,82.27
62,Bambi,1942,U,70,"Animation, Drama, Family",7.3,    The story of a young deer growing up in the forest.,"130,247",                        1h 10mi,"Walt Disney Animation Studios, Walt Disney Productions      
        See more »","James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi                 ","Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn    ",91.0,102.8
63,Ratatouille,2007,U,111,"Animation, Adventure, Comedy",8.0,    A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,"634,662",                        1h 51mi,"$623,726,085","Brad Bird, Jan Pinkava                 ","Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm    ",96.0,206.45
64,Pirates of the Caribbean: At World's End,2007,12A,169,"Action, Adventure, Fantasy",7.1,"    Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","591,601",                        2h 49mi,"$960,996,492",Gore Verbinski                 ,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush    ",50.0,309.42
65,The Mighty Ducks,1992,PG,104,"Comedy, Drama, Family",6.5,    A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,"58,224",                        1h 44mi,"$50,752,337",Stephen Herek                 ,"Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling    ",46.0,50.75
66,Heavyweights,1995,PG,100,"Comedy, Drama, Family",6.7,"    Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex-fitness instructor.","25,130",                        1h 40mi,"Caravan Pictures, Walt Disney Pictures      
        See more »",Steven Brill                 ,"Tom McGowan, Aaron Schwartz, Ben Stiller, David Goldman    ",42.0,17.69
67,The Princess Diaries 2,2004,U,113,"Comedy, Family, Romance",5.8,"    Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.","73,582",                        1h 53mi,"$134,734,481",Garry Marshall                 ,"Anne Hathaway, Callum Blue, Julie Andrews, Hector Elizondo    ",43.0,95.17
68,Chicken Little,2005,U,81,"Animation, Adventure, Comedy",5.7,"    After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.","85,288",                        1h 21mi,"Walt Disney Pictures, Walt Disney Animation Studios      
        See more »",Mark Dindal                 ,"Zach Braff, Joan Cusack, Garry Marshall, Don Knotts    ",48.0,135.39
69,Freaky Friday,2003,PG,97,"Comedy, Family, Fantasy",6.2,"    An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","124,349",                        1h 37mi,"$160,846,332",Mark Waters                 ,"Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould    ",70.0,110.23
70,Pinocchio,1940,U,88,"Animation, Comedy, Family",7.4,"    A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","130,065",                        1h 28mi,"$121,892,045","Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen                 ","Dickie Jones, Christian Rub, Mel Blanc, Don Brodie    ",99.0,84.25
71,Pollyanna,1960,U,134,"Comedy, Drama, Family",7.4,    A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,"9,097",                        2h 14mi,"Mono
(RCA Sound Recording)",David Swift                 ,"Jane Wyman, Hayley Mills, Richard Egan, Karl Malden    ",,
72,Spirited Away,2001,PG,125,"Animation, Adventure, Family",8.6,"    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","642,113",                        2h 5mi,"Tokuma Shoten, Studio Ghibli, Nippon Television Network (NTV)      
        See more »",Hayao Miyazaki                 ,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi    ",96.0,10.06
73,Fantasia 2000,1999,U,75,"Animation, Comedy, Family",7.2,    An update of the original film with new interpretations of great works of classical music.,"34,881",                        1h 15mi,"$90,874,570","James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt                 ","James Levine, Steve Martin, Itzhak Perlman, Quincy Jones    ",59.0,60.66
74,WALL·E,2008,U,98,"Animation, Adventure, Family",8.4,"    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","989,910",                        1h 38mi,"$521,311,860",Andrew Stanton                 ,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard    ",95.0,223.81
75,National Treasure,2004,PG,131,"Action, Adventure, Mystery",6.9,    A historian races to find the legendary Templar Treasure before a team of mercenaries.,"302,348",                        2h 11mi,"$347,512,318",Jon Turteltaub                 ,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean    ",39.0,173.01
76,Sky High,2005,PG,100,"Adventure, Comedy, Family",6.2,"    Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.","78,491",                        1h 40mi,"$86,369,815",Mike Mitchell                 ,"Kurt Russell, Kelly Preston, Michael Angarano, Danielle Panabaker    ",62.0,63.95
77,Pirates of the Caribbean: Dead Man's Chest,2006,12A,151,"Action, Adventure, Fantasy",7.3,"    Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","651,113",                        2h 31mi,"$1,066,179,747",Gore Verbinski                 ,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport    ",53.0,423.32
78,Jungle 2 Jungle,1997,PG,105,"Comedy, Family",5.2,"    A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process.","22,674",                        1h 45mi,"$59,927,618",John Pasquin                 ,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich    ",42.0,59.93
79,Man of the House,1995,U,96,"Comedy, Family",5.2,"    A young boy refuses to accept his mother's new boyfriend, a lawyer, despite the man's attempts to win his respect. Meanwhile, disgruntled relative of a criminal he prosecuted seek revenge.","8,661",                        1h 36mi,"All Girl Productions, Forever Girls Productions, Marty Katz Productions      
        See more »",James Orr                 ,"Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas, George Wendt    ",,40.07
80,Blank Cheque,1994,PG,93,"Comedy, Crime, Family",5.3,"    After a bike accident, a young boy inadvertently gains possession of a check for $1 million and proceeds to spend it, unaware that the gangsters to whom it belongs are in pursuit.","18,873",                        1h 33mi,"Walt Disney Pictures, Agelson, Baumgarten      
        See more »",Rupert Wainwright                 ,"Brian Bonsall, Karen Duffy, James Rebhorn, Jayne Atkinson    ",42.0,30.58
81,The Luck of the Irish,2001 TV Movie,,86,"Adventure, Comedy, Drama",6.2,    A teenager must battle for a gold charm to keep his family from being controlled by an evil leprechaun.,"6,710",                        1h 26mi,Color,Paul Hoen                 ,"Ryan Merriman, Henry Gibson, Alexis Lopez, Glenndon Chatman    ",,
82,Treasure Planet,2002,U,95,"Animation, Adventure, Family",7.2,"    A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.","101,603",                        1h 35mi,"Walt Disney Animation Studios, Walt Disney Pictures      
        See more »","Ron Clements, John Musker                 ","Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne    ",60.0,38.18
83,The Santa Clause,1994,U,97,"Comedy, Drama, Family",6.5,"    When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.","96,234",                        1h 37mi,"$189,833,357",John Pasquin                 ,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd    ",57.0,144.83
84,I'll Be Home for Christmas,1998,PG,86,"Comedy, Family",5.5,"    A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.","9,293",                        1h 26mi,"$12,214,338",Arlene Sanford                 ,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole    ",,12.21
85,Muppet Treasure Island,1996,U,99,"Action, Adventure, Comedy",7.0,    The Muppets' twist on the classic tale.,"21,408",                        1h 39mi,"Walt Disney Pictures, Jim Henson Productions      
        See more »","Brian Henson, David Lane                 ","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop    ",64.0,33.61
86,An Extremely Goofy Movie,2000 Video,U,79,"Animation, Comedy, Family",6.4,"    Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.","9,984",                        1h 19mi,Dolby Digital,Douglas McCarthy                 ,"Bill Farmer, Jason Marsden, Jeff Bennett, Jim Cummings    ",,
87,Flubber,1997,U,93,"Comedy, Family, Sci-Fi",5.3,"    An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.","83,968",                        1h 33mi,"$177,977,226",Les Mayfield                 ,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine    ",37.0,92.98
88,"Honey, I Shrunk the Kids",1989,U,93,"Adventure, Comedy, Family",6.4,    The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,"141,853",                        1h 33mi,"$222,724,172",Joe Johnston                 ,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland    ",63.0,130.72
89,"Honey, We Shrunk Ourselves!",1997 Video,PG,74,"Action, Adventure, Comedy",5.0,"    Wayne Szalinzki, a wacky, absent-minded inventor, is back again but only this time he decides to use his infamous shrink machine just one more time. His wife Diane asks him to get rid of ...                See full summary »","13,429",                        1h 14mi,Dolby,Dean Cundey                 ,"Rick Moranis, Eve Gordon, Bug Hall, Robin Bartlett    ",,
90,Recess: School's Out,2001,U,82,"Animation, Comedy, Family",6.6,    TJ and company must save summer vacation from disappearing forever.,"9,403",                        1h 22mi,"Disney Television Animation, Disneytoon Studios, Studio Ghibli      
        See more »",Chuck Sheetz                 ,"Andrew Lawrence, Rickey D'Shon Collins, Jason Davis, Ashley Johnson    ",43.0,36.7
91,Tuck Everlasting,2002,PG,90,"Drama, Family, Fantasy",6.6,    A young woman meets and falls in love with a young man who is part of a family of immortals.,"21,034",                        1h 30mi,"$19,344,615",Jay Russell                 ,"Alexis Bledel, Jonathan Jackson, Sissy Spacek, William Hurt    ",66.0,19.16
92,Pooh's Grand Adventure: The Search for Christopher Robin,1997 Video,U,76,"Animation, Adventure, Comedy",7.1,"    Winnie the Pooh and company embark on a quest to rescue Christopher Robin from certain doom in a place called ""Skull"" after misreading a note he left for them.","5,198",                        1h 16mi,Color,Karl Geurs                 ,"Jim Cummings, John Fiedler, Ken Sansom, Andre Stojka    ",,
93,Brother Bear,2003,U,85,"Animation, Adventure, Comedy",6.8,"    When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.","96,130",                        1h 25mi,"$250,397,798","Aaron Blaise, Robert Walker                 ","Joaquin Phoenix, Jeremy Suarez, Rick Moranis, Jason Raize    ",48.0,85.34
94,Herbie Fully Loaded,2005,U,101,"Adventure, Comedy, Family",4.8,"    Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor.","44,878",                        1h 41mi,"$144,146,816",Angela Robinson                 ,"Lindsay Lohan, Michael Keaton, Cheryl Hines, Breckin Meyer    ",47.0,66.02
95,The Game Plan,2007,U,110,"Comedy, Family, Sport",6.1,    An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,"58,474",                        1h 50mi,"$147,880,543",Andy Fickman                 ,"Dwayne Johnson, Kyra Sedgwick, Madison Pettis, Roselyn Sanchez    ",44.0,90.65
96,Ice Princess,2005,U,98,"Comedy, Drama, Family",6.0,"    With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.","24,757",                        1h 38mi,$0,Tim Fywell                 ,"Michelle Trachtenberg, Kim Cattrall, Trevor Blumas, Joan Cusack    ",55.0,24.38
97,Max Keeble's Big Move,2001,PG,86,"Comedy, Crime, Family",5.4,"    Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all.","7,430",                        1h 26mi,"$18,634,654",Tim Hill                 ,"Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey    ",40.0,17.29
98,Snow Dogs,2002,PG,99,"Adventure, Comedy, Family",5.2,"    When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.","25,143",                        1h 39mi,"$115,035,090",Brian Levant                 ,"Cuba Gooding Jr., James Coburn, Sisqó, Nichelle Nichols    ",29.0,81.17
99,Cadet Kelly,2002 TV Movie,U,101,"Comedy, Drama, Family",5.5,    A fashion-conscious youngster is horrified when she is forced to move to military school.,"13,129",                        1h 41mi,$0,Larry Shaw                 ,"Hilary Duff, Christy Carlson Romano, Gary Cole, Shawn Ashmore    ",,
