iter	Passed	Remaining
141	2568	15517
142	2587	15508
143	2600	15460
144	2612	15407
145	2630	15384
146	2642	15335
147	2659	15310
148	2669	15248
149	2685	15219
150	2702	15192
151	2715	15148
152	2730	15118
153	2743	15071
154	2756	15026
155	2775	15013
156	2788	14973
157	2799	14919
158	2815	14894
159	2831	14863
160	2847	14836
161	2864	14820
162	2878	14780
163	2893	14750
164	2905	14705
165	2916	14653
166	2933	14634
167	2948	14604
168	2962	14567
169	2979	14546
170	2990	14500
171	3005	14468
172	3015	14413
173	3022	14349
174	3031	14290
175	3042	14246
176	3061	14236
177	3083	14241
178	3099	14215
179	3110	14168
180	3122	14129
181	3133	14083
182	3147	14052
183	3161	14022
184	3180	14012
185	3191	13965
186	3208	13947
187	3221	13913
188	3229	13857
189	3239	13811
190	3254	13786
191	3272	13772
192	3288	13751
193	3296	13695
194	3313	13678
195	3327	13650
196	3342	13626
197	3359	13609
198	3376	13589
199	3393	13572
200	3407	13543
201	3425	13530
202	3440	13508
203	3454	13480
204	3469	13454
205	3480	13415
206	3491	13375
207	3505	13349
208	3523	13336
209	3539	13314
210	3554	13293
211	3571	13274
212	3584	13242
213	3598	13215
214	3615	13199
215	3625	13158
216	3640	13137
217	3653	13107
218	3667	13079
219	3681	13052
220	3695	13026
221	3704	12983
222	3715	12946
223	3725	12907
224	3734	12863
225	3749	12842
226	3767	12828
227	3777	12791
228	3793	12772
229	3804	12736
230	3815	12701
231	3829	12677
232	3839	12639
233	3852	12611
234	3872	12606
235	3882	12570
236	3893	12533
237	3909	12517
238	3923	12492
239	3940	12477
240	3951	12446
241	3967	12428
242	3981	12401
243	3991	12367
244	4007	12348
245	4021	12326
246	4035	12302
247	4055	12297
248	4073	12285
249	4081	12245
250	4092	12213
251	4120	12232
252	4138	12218
253	4160	12220
254	4177	12206
255	4200	12208
256	4215	12186
257	4238	12190
258	4255	12174
259	4271	12157
260	4285	12134
261	4300	12112
262	4309	12077
263	4329	12069
264	4342	12045
265	4350	12005
266	4358	11966
267	4366	11926
268	4376	11891
269	4390	11869
270	4404	11848
271	4417	11823
272	4426	11787
273	4446	11781
274	4460	11760
275	4476	11742
276	4485	11708
277	4503	11697
278	4518	11677
279	4534	11660
280	4549	11640
281	4567	11628
282	4580	11604
283	4599	11596
284	4619	11589
285	4627	11553
286	4638	11522
287	4655	11508
288	4671	11491
289	4695	11494
290	4706	11467
291	4724	11454
292	4738	11434
293	4755	11419
294	4767	11393
295	4786	11384
296	4798	11357
297	4817	11348
298	4832	11328
299	4845	11306
300	4861	11289
301	4871	11259
302	4889	11247
303	4903	11226
304	4918	11207
305	4939	11203
306	4959	11194
307	4973	11174
308	4985	11148
309	5004	11138
310	5018	11118
311	5026	11084
312	5048	11081
313	5063	11061
314	5083	11055
315	5105	11051
316	5114	11018
317	5123	10987
318	5132	10956
319	5145	10933
320	5153	10900
321	5167	10880
322	5179	10855
323	5192	10833
324	5204	10808
325	5218	10788
326	5230	10764
327	5243	10743
328	5259	10726
329	5268	10697
330	5284	10680
331	5299	10663
332	5319	10655
333	5330	10628
334	5344	10609
335	5363	10600
336	5379	10583
337	5394	10566
338	5405	10540
339	5429	10540
340	5451	10535
341	5465	10516
342	5488	10512
343	5503	10494
344	5519	10479
345	5540	10472
346	5561	10465
347	5574	10444
348	5591	10429
349	5599	10398
350	5614	10381
351	5630	10364
352	5644	10344
353	5651	10313
354	5665	10292
355	5678	10272
356	5686	10241
357	5695	10212
358	5702	10181
359	5709	10149
360	5715	10117
361	5725	10090
362	5737	10068
363	5752	10050
364	5767	10033
365	5780	10012
366	5791	9989
367	5810	9979
368	5829	9969
369	5846	9954
370	5861	9937
371	5876	9920
372	5888	9899
373	5904	9883
374	5920	9866
375	5937	9853
376	5950	9832
377	5964	9814
378	5982	9801
379	5995	9782
380	6010	9764
381	6029	9754
382	6047	9742
383	6064	9729
384	6076	9706
385	6086	9681
386	6107	9673
387	6122	9657
388	6133	9633
389	6142	9606
390	6152	9582
391	6170	9569
392	6189	9559
393	6206	9545
394	6223	9532
395	6234	9509
396	6245	9486
397	6255	9461
398	6271	9446
399	6284	9427
400	6293	9400
401	6308	9384
402	6324	9369
